t,ID,Name,Year,Equity.Muliplier,TD/TA ratio,STD/TA ratio,LTD/TA ratio,Market.Value
1,1,ACI Limited,2008,3.136591016,0.958629313,0.913848501,0.044780812,8429421000
2,1,ACI Limited,2009,2.483296689,0.882029219,0.839794245,0.042234974,8671647600
3,1,ACI Limited,2010,2.17269701,0.770191851,0.652403641,0.11778821,7229930400
4,1,ACI Limited,2011,2.32763017,0.649525337,0.569466879,0.080058458,4073068590
5,1,ACI Limited,2012,2.599040202,0.547954648,0.478504776,0.069449872,2783723547
6,1,ACI Limited,2013,2.606573614,0.030967741,0.430066351,0.013114721,3381080654
7,1,ACI Limited,2014,2.35007297,0.028776758,0.016896011,0.009380188,13410267778
8,1,ACI Limited,2015,1.652438757,0.02547591,0.015556667,0.008514779,22213099022
9,1,ACI Limited,2016,1.76634956,0.026018127,0.015556373,0.008006769,16892764586
10,1,ACI Limited,2017,2.082477154,0.042889941,0.014050575,0.006264029,22163482832
1,2,ACI Formulations Limited,2008,2.366746939,0.54740716,0.518176936,0.029230224,4865000000
2,2,ACI Formulations Limited,2009,2.199730219,0.545398799,0.487853463,0.057545336,5136000000
3,2,ACI Formulations Limited,2010,1.669689993,0.399267984,0.351681682,0.047586302,4194000000
4,2,ACI Formulations Limited,2011,1.744504791,0.406051778,0.393904681,0.012147097,2670000000
5,2,ACI Formulations Limited,2012,1.662610897,0.37734209,0.372557166,0.004784924,2217000000
6,2,ACI Formulations Limited,2013,1.675685613,0.403229345,0.381111179,0.022118166,2367000000
7,2,ACI Formulations Limited,2014,1.700757709,0.41230711,0.392500729,0.019806381,3828000000
8,2,ACI Formulations Limited,2015,1.852147586,0.460171709,0.442517394,0.017654316,5691000000
9,2,ACI Formulations Limited,2016,1.959405727,0.492001417,0.474937022,0.017064395,4560000000
10,2,ACI Formulations Limited,2017,2.076068713,0.521464796,0.505421471,0.016043325,5208000000
1,3,The ACME Laboratories Limited,2015,2.045241318,0.493874486,0.362416686,0.131457799,24630437880
2,3,The ACME Laboratories Limited,2016,1.765392166,0.433553621,0.296534309,0.137019312,20948568300
3,3,The ACME Laboratories Limited,2017,1.76614426,0.433794836,0.311048509,0.122746327,24122593800
1,4,Active Fine Chemicals Limited,2010,1.231907021,0.188190565,0.188190565,0,4772000000
2,4,Active Fine Chemicals Limited,2011,1.226010598,0.184346365,0.182163286,0.002183079,2861200000
3,4,Active Fine Chemicals Limited,2012,1.38384255,0.277374438,0.258244347,0.019130091,4013040000
4,4,Active Fine Chemicals Limited,2013,1.345867605,0.256984865,0.23227324,0.024711625,5678700000
5,4,Active Fine Chemicals Limited,2014,1.145157878,0.126757961,0.10015285,0.02660511,6118920000
6,4,Active Fine Chemicals Limited,2015,1.256023752,0.272611941,0.250575377,0.022036564,5584032000
7,4,Active Fine Chemicals Limited,2016,1.358396734,0.266499702,0.24468133,0.021818372,6926169276
8,4,Active Fine Chemicals Limited,2017,1.419838372,0.277177541,0.276966751,0.00021079,7038139680
1,5,AFC Agro Biotech Ltd.,2014,1.09842732,0.089607494,0.089607494,0,2695000000
2,5,AFC Agro Biotech Ltd.,2015,1.139338531,0.122297742,0.118540832,0.00375691,4161850000
3,5,AFC Agro Biotech Ltd.,2016,1.160516283,0.138314546,0.124537877,0.013776669,3878490000
4,5,AFC Agro Biotech Ltd.,2017,1.171356451,0.146288904,0.131607144,0.01468176,4098600000
1,6,Ambee Pharma Ltd.,2009,6.09257452,0.835865775,0.804570073,0.031295702,475600000
2,6,Ambee Pharma Ltd.,2010,5.86953307,0.829628697,0.798161134,0.031467563,994400000
3,6,Ambee Pharma Ltd.,2011,5.604147423,0.821560726,0.789895555,0.03166517,841800000
4,6,Ambee Pharma Ltd.,2012,5.333560524,0.812507987,0.783622788,0.028885199,453400000
5,6,Ambee Pharma Ltd.,2013,6.34500275,0.842395652,0.817369934,0.025025719,519000000
