t,ID,Name,Year,Equity.Multiplier,TD/TA ratio,STD/TA ratio,LTD/TA ratio,Market Value
1,1,amcl(pran),2008,2.693744488,0.567015782,0.466831429,0.100184353,811000000
2,1,amcl(pran),2009,2.796863506,0.576396176,0.439394954,0.137001223,1227000000
3,1,amcl(pran),2010,2.935364203,0.603338657,0.396562103,0.206776554,1409000000
4,1,amcl(pran),2011,2.921946232,0.562590737,0.434080348,0.128510389,1108000000
5,1,amcl(pran),2012,2.734543876,0.500361463,0.403556751,0.096804712,976000000
6,1,amcl(pran),2013,2.479023302,0.472901747,0.39742717,0.075474577,1504000000
7,1,amcl(pran),2014,2.250022938,0.458784163,0.419814274,0.038969889,1568800000
8,1,amcl(pran),2015,2.912114599,0.572304507,0.289046867,0.283257641,1633600000
9,1,amcl(pran),2016,2.092044582,0.547260425,0.410164444,0.137095981,1660800000
10,1,amcl(pran),2017,2.015643953,0.537157955,0.435432794,0.10172516,1776000000
1,2,apex food,2008,2.401444225,0.502166741,0.475318641,0.0268481,499387680
2,2,apex food,2009,2.550767592,0.555945946,0.525400775,0.03054517,668036160
3,2,apex food,2010,2.830312747,0.617211849,0.471260897,0.145950953,688849920
4,2,apex food,2011,3.665323082,0.665902115,0.565062756,0.100839359,473299200
5,2,apex food,2012,2.849651079,0.587184329,0.496501741,0.090682587,420266880
6,2,apex food,2013,7.132577098,0.083708587,0.053251095,0.030457491,544008960
7,2,apex food,2014,5.988985803,0.068320555,0.041583533,0.026737022,551422080
8,2,apex food,2015,2.859428503,0.522149036,0.492653768,0.029495268,688279680
9,2,apex food,2016,2.49533653,0.537836597,0.523278297,0.014558299,784080000
10,2,apex food,2017,2.679327946,0.504873688,0.491070778,0.013802909,805178880
1,3,batbc,2008,2.203201285,0.546115007,0.482789319,0.063325688,12096000000
2,3,batbc,2009,2.328416426,0.570523559,0.519923225,0.050600334,24564000000
3,3,batbc,2010,2.142293928,0.533210646,0.472974733,0.060235913,42990000000
4,3,batbc,2011,2.224730432,0.799152144,0.72774765,0.071404494,37578000000
5,3,batbc,2012,2.13772519,0.532213025,0.467576592,0.064636433,50370000000
6,3,batbc,2013,2.074213483,0.517889548,0.450328204,0.067561344,96186000000
7,3,batbc,2014,2.361843505,0.116255135,0.520879967,0.055721992,1.59E+11
8,3,batbc,2015,2.025448682,0.506282233,0.420748103,0.08553413,1.77E+11
9,3,batbc,2016,1.871967668,0.050627846,0.385796251,0.080006489,1.49E+11
10,3,batbc,2017,2.00820476,0.50204281,0.422225439,0.079817371,2.04E+11
1,4,olympic industries,2008,23.72368506,0.086163397,0.042151967,0.044011429,748786176
2,4,olympic industries,2009,2.811407814,0.142846479,0.108248084,0.034598395,3634224059
3,4,olympic industries,2010,2.588238091,0.148358915,0.102331,0.046027915,9862206519
4,4,olympic industries,2011,2.488969557,0.173381811,0.101969549,0.071412263,6817434188
5,4,olympic industries,2012,2.217372909,0.17678218,0.089061906,0.087720274,7710753101
6,4,olympic industries,2013,2.132946961,0.113171247,0.05779591,0.055375337,17290423493
7,4,olympic industries,2014,1.99954095,0.113077281,0.024860553,0.088216727,36068340409
8,4,olympic industries,2015,1.704396611,0.054000216,0.011350447,0.042649768,49356342230
9,4,olympic industries,2016,16.84000342,0.074146128,0.056248756,0.017897373,61561182999
10,4,olympic industries,2017,1.684937873,0.130785107,0.111471258,0.019313849,57642380834
1,5,rahima food,2008,1.37544137,0.157203748,0.157203748,0,103001030
2,5,rahima food,2009,1.349280433,0.223320233,0.223320233,0,334503345
3,5,rahima food,2010,2.711582083,0.298728988,0.298728988,0,1387513875
4,5,rahima food,2011,3.743806583,2.698221215,2.698221215,0,696006960
5,5,rahima food,2012,11.80037754,0.862491626,0.862491626,0,350003500
6,5,rahima food,2013,12.23475483,0.866022224,0.905972327,0.012293301,1356013560
7,5,rahima food,2014,16.19762315,0.909345613,0.928071582,0.010190965,732007320
8,5,rahima food,2015,18.1871979,0.917892879,0.936521981,0.008494288,748007480
9,5,rahima food,2016,25.34217067,0.914565599,0.950598508,0.009941573,2574025740
10,5,rahima food,2017,10.40360822,0.879846025,0.899103236,0.004776266,3170031700
1,6,fu wang food,2008,1.768599317,0.140435865,0.140435865,0,437920000
2,6,fu wang food,2009,1.876391618,0.228137438,0.228137438,0,1094984000
3,6,fu wang food,2010,3.042108,0.302729122,0.302729122,0,2841696000
4,6,fu wang food,2011,1.368837966,0.069255605,0.069255605,0,2714426880
5,6,fu wang food,2012,1.351600061,0.066503981,0.066503981,0,1555986432
6,6,fu wang food,2013,1.376243807,0.049817227,0.244501996,0.028882562,1553592602
7,6,fu wang food,2014,1.406195871,0.027485706,0.22264316,0.066218355,1723434493
8,6,fu wang food,2015,1.411289846,0.04457811,0.242289755,0.049138577,1215817862
9,6,fu wang food,2016,1.426690221,0.067699576,0.260829265,0.038247728,1465643440
10,6,fu wang food,2017,1.43591236,0.087501012,0.242818123,0.060760544,1995107143
1,7,gemini sea food,2008,31.16291311,0.857688029,0.857688029,0,55577500
2,7,gemini sea food,2009,23.40675396,0.864187583,0.636274903,0.22791268,130377500
3,7,gemini sea food,2010,19.93140174,0.881561359,0.630968337,0.250593022,190025000
4,7,gemini sea food,2011,20.5873017,0.98841925,0.754975943,0.233443307,310860000
5,7,gemini sea food,2012,20.36990509,0.941450899,0.725671289,0.21577961,205810000
6,7,gemini sea food,2013,-47.03882121,0.990394316,0.003821461,1.017437578,164340000
7,7,gemini sea food,2014,-45.38111846,0.986711101,0.986711101,0.035324495,230340000
8,7,gemini sea food,2015,186.0206776,0.830341376,0.97537849,0.019245763,346720000
9,7,gemini sea food,2016,15.36551483,0.759837951,0.916714349,0.018204851,1176945000
10,7,gemini sea food,2017,17.97315703,0.702970257,0.935754418,0.008607055,1688073750
1,8,zeal bangla sugar,2008,-0.460296047,0.894632262,0.161545106,0.733087156,110400000
2,8,zeal bangla sugar,2009,-0.350364615,0.950500229,0.239483843,0.711016386,133800000
3,8,zeal bangla sugar,2010,-0.348382537,1.323417705,0.677157257,0.646260448,120600000
4,8,zeal bangla sugar,2011,-0.287680269,2.34284938,1.752109133,0.590740247,87000000
5,8,zeal bangla sugar,2012,-0.438593909,1.668475016,1.348676752,0.319798264,52800000
6,8,zeal bangla sugar,2013,-0.49515035,0.579065164,0.09122223,0.487842934,44400000
7,8,zeal bangla sugar,2014,-0.303498375,1.084840977,0.124499856,0.960341121,49800000
8,8,zeal bangla sugar,2015,-0.17005023,3.531016407,0.017098034,3.513918373,39600000
9,8,zeal bangla sugar,2016,-0.161632398,3.791891848,0.014191502,3.777700345,267600000
10,8,zeal bangla sugar,2017,-0.169189733,3.349412532,0.011325542,3.33808699,420000000
1,9,fine foods,2008,1.103968855,0.077287584,0.01688976,0.077287584,107100000
2,9,fine foods,2009,1.103947047,0.0743193,0.019840151,0.0743193,382898250
3,9,fine foods,2010,1.094779293,0.05860607,0.027965424,0.05860607,1026978750
4,9,fine foods,2011,1.044009348,0.042154171,0.042154171,0,632246972.8
5,9,fine foods,2012,1.030925999,0.029998229,0.029998229,0,230119290
6,9,fine foods,2013,1.024751703,0.024153861,0.024153861,0,310354213.4
7,9,fine foods,2014,1.026200731,0.02553178,0.02553178,0,139528995.1
8,9,fine foods,2015,1.024855518,0.024252704,0.024252704,0,106928762.6
9,9,fine foods,2016,1.030749041,0.029810704,0.029810704,0,317891366.6
10,9,fine foods,2017,1.044932535,0.043000417,0.043000417,0,482982067.2
1,10,megcon milk,2008,-0.937203469,2.065333204,1.018089954,1.04724325,145600000
2,10,megcon milk,2009,-1.276504468,1.76833687,1.022652593,0.745684277,513600000
3,10,megcon milk,2010,-1.365305878,0.732436603,-0.95703282,1.689469423,1281600000
4,10,megcon milk,2011,-8.645993784,1.110899862,0.65816331,0.452736552,422400000
5,10,megcon milk,2012,-4.460081889,1.219225185,0.675640407,0.543584778,156800000
6,10,megcon milk,2013,-3.016639263,1.32560154,0.74864941,0.511281801,128000000
