Company Name,Year,Revenue,COS,A/R,A/P,Inventory,NI,CA,#NAME?,CL,GOI,ROA,CR,QR,RD,PD,ID,CCC,Size=Logarithm of assets,ID,t,net profit margin,Mean,Ind Avg.,gross profit margin,Mean,Ind. Avg.,ROA,Mean,Ind. Avg.
ALHAZTEX,2013,"151,395,648","99,537,631",6323441,28153909,78169802,"27,845,731",151158347,336738257,62855628,51.86,0.08,2.4,1.16,15.04,101.82,282.72,195.93,19.634817,1,1,18.39268955,,,0.342533074,,,0.082692509,,
ALHAZTEX,2014,"335,775,380","287,082,296",4754526,27369216,82919799,"12,415,077",176033259,343859594,60371924,48.69,0.04,2.92,1.54,5.1,34.32,103.98,74.76,19.655744,1,2,3.697435283,,,0.145016838,,,0.036105078,,
ALHAZTEX,2015,"335,365,990","281,129,580",3424487,22111694,110192673,"22,544,371",223242327,381231327,59383867,54.24,0.06,3.76,1.9,3.68,28.32,141.11,116.47,19.758917,1,3,6.722318802,,,0.161723048,,,0.059135673,,
ALHAZTEX,2016,"288,527,739","250,535,498",1888493,102520390,104829428,"21,359,682",345957606,486211995,143408083,37.99,0.04,2.41,1.68,2.36,147.31,150.63,5.67,20.002155,1,4,7.402990809,,,0.131676216,,,0.0439308,,
ALHAZTEX,2017,"266,644,659","232,965,776",1888493,95551678,140074620,"20,769,687",376701066,504544985,138856335,33.68,0.04,2.71,1.7,2.55,147.66,216.46,71.35,20.039168,1,5,7.789275464,8.800941981,6.308162646,0.126306235,0.181451082,0.177584208,0.041165184,0.052605849,0.039528027
ALLTEX,2013,"2,414,318,338","1,989,580,948",218222754,916662593,617806703,"4,925,545",1247157977,2682483510,1495212201,424.74,0,0.83,0.42,32.54,165.86,111.79,-21.54,21.710009,2,1,0.2040139,,,0.175924352,,,0.001836188,,
ALLTEX,2014,"2,171,832,481","1,769,262,377",255514493,326186050,633845318,"-5,415,107",1214937249,2596681758,1453727515,402.57,0,0.84,0.4,42.35,66.37,128.97,104.95,21.6775,2,2,-0.249333549,,,0.185359648,,,-0.002085395,,
ALLTEX,2015,"2,161,644,658","1,826,454,710",292024000,307162000,885223000,"-60,619,976",1415367000,2737757000,1912151000,335.19,-0.02,0.74,0.28,48.63,60.54,174.48,162.57,21.730405,2,3,-2.804345098,,,0.155062464,,,-0.022142205,,
ALLTEX,2016,"2,235,964,956","1,885,297,598",244857805,98257870,1087926119,"122,674,490",1624841954,2891267606,2074742324,350.67,0.04,0.78,0.26,39.42,18.76,207.74,228.4,21.784961,2,4,5.486422749,,,0.156830436,,,0.04242931,,
ALLTEX,2017,"1,521,894,079","1,285,074,003",314657900,0,1053447402,"64,399,114",1569509974,4000508841,1931094026,236.82,0.02,0.81,0.27,74.43,0,295.11,369.54,22.109687,2,5,4.231510911,1.373653783,6.308162646,0.155608777,0.165757135,,0.016097731,0.007227126,
ANLIMA YARN,2013,"238,862,215","165,361,572",58997614,5966858,72618415,"20,820,598",136575395,565000897,329044783,73.5,0.04,0.42,0.19,88.92,12.99,158.09,234.02,20.152338,3,1,8.716572439,,,0.307711469,,,0.036850557,,
ANLIMA YARN,2014,"239,971,275","163,864,712",68998614,9017148,67973279,"21,344,753",141345829,548859869,314173121,76.11,0.04,0.45,0.23,103.51,19.81,149.33,233.03,20.123354,3,2,8.894711669,,,0.317148638,,,0.038889258,,
ANLIMA YARN,2015,"242,672,593","190,350,836",52653626,11797532,62129673,"24,258,788",116133799,499466410,273362310,52.32,0.05,0.42,0.2,78.11,22.31,117.5,173.3,20.029051,3,3,9.996509165,,,0.215606371,,,0.048569408,,
ANLIMA YARN,2016,"229,869,503","181,650,088",35853512,7777785,56042841,"18,634,169",92745320,456869052,237837331,48.22,0.04,0.39,0.15,56.15,15.41,111.07,151.8,19.939907,3,4,8.106412011,,,0.209768649,,,0.040786674,,
ANLIMA YARN,2017,"228,739,935","183,537,272",50094371,10808664,42331408,"19,536,511",93904343,436907067,219778075,45.2,0.04,0.43,0.23,78.84,21.2,83.03,140.67,19.895231,3,5,8.540927058,8.851026468,6.308162646,0.197615965,0.249570218,,0.044715484,0.041962276,
APEXSPINN,2013,"2,231,013,380","2,000,422,613","220,273,158","523,229,412","263,164,972","13,528,325","730,506,118","1,070,253,704","663,730,623",230.59,0.01,1.1,0.7,35.54,94.16,47.36,-11.26,20.791162,4,1,0.60637579,,,0.103356963,,,0.012640297,,
APEXSPINN,2014,"2,524,441,094","2,268,899,108","302,970,716","512,193,764","183,499,376","16,827,308","747,510,452","1,048,472,626","634,442,338",255.54,0.02,1.18,0.89,43.21,81.27,29.12,-8.95,20.7706,4,2,0.666575585,,,0.101227153,,,0.016049354,,
APEXSPINN,2015,"2,445,605,553","2,237,695,155","281,068,866","553,551,150","185,096,657","18,487,401","861,399,042","1,181,591,830","766,092,191",207.91,0.02,1.12,0.88,41.37,89.06,29.78,-17.9,20.890128,4,3,0.755943696,,,0.085013872,,,0.015646182,,
APEXSPINN,2016,"2,511,696,289","2,293,499,979","336,933,164","574,250,309","195,968,761","18,796,121","841,180,582","1,136,263,056","717,133,297",218.2,0.02,1.17,0.9,48.29,90.14,30.76,-11.08,20.851011,4,4,0.748343702,,,0.086872092,,,0.016542051,,
APEXSPINN,2017,"2,511,696,289","2,290,499,979","336,933,164","574,250,309","195,968,761","18,796,121","841,180,582","1,136,263,056","717,133,297",221.2,0.02,1.17,0.9,48.29,90.26,30.8,-11.16,20.851011,4,5,0.748343702,0.705116495,,0.088066503,0.092907317,,0.016542051,0.015483987,
DELTA SPINN,2013,"1,340,031,168","996,761,591","80,578,193","1,154,867","678,427,351","31,961,055","965,037,317","2,070,658,903","517,711,885",343.27,0.02,1.86,0.55,21.65,0.42,245.03,266.26,21.451133,5,1,2.385097882,,,0.256165368,,,0.01543521,,
DELTA SPINN,2014,"1,451,818,503","1,213,979,924","93,675,018","664,807","810,714,039","29,706,777","1,039,603,674","2,614,356,074","697,440,254",237.84,0.01,1.49,0.33,23.23,0.2,240.41,263.44,21.684284,5,2,2.046177049,,,0.163821152,,,0.011362942,,
DELTA SPINN,2015,"1,665,803,050","1,396,102,838","63,775,010",0,"1,377,298,000","92,864,715","1,377,298,000","2,860,528,000","936,243,000",269.7,0.03,1.47,0,13.78,0,355.15,368.93,21.774272,5,3,5.574771579,,,0.161904021,,,0.032464187,,
DELTA SPINN,2016,"1,663,987,165","1,394,570,636","459,400,078","1,477,130","934,052,988","65,004,658","1,619,096,084","2,961,057,960","924,475,384",269.42,0.02,1.75,0.74,99.39,0.38,241.12,340.13,21.808812,5,4,3.906560061,,,0.161910221,,,0.021953187,,
DELTA SPINN,2017,"1,348,800,252","1,148,434,114","487,551,443","5,046,376","914,688,413","72,149,112","2,226,032,759","3,570,039,437","758,441,514",200.37,0.02,2.94,1.73,130.13,1.58,286.73,415.28,21.995842,5,5,5.349132453,3.852347805,,0.148551379,0.178470428,,0.020209612,0.020285028,
DSHGARME,2013,"258,981,091","242,819,613","5,099,069","2,746,220","5,342,356","1,048,039","36,908,370","122,307,243","83,261,021",16.16,0.01,0.44,0.38,7.09,4.07,7.92,10.94,18.622047,6,1,0.404677807,,,0.062404085,,,0.008568904,,
DSHGARME,2014,"241,522,863","226,426,504","4,099,000","2,893,373","5,009,193","2,414,396","52,777,840","155,197,304","114,726,206",15.1,0.02,0.46,0.42,6.11,4.6,7.96,9.47,18.860208,6,2,0.999655258,,,0.062504886,,,0.015556945,,
DSHGARME,2015,"258,210,120","240,047,747","5,099,400","3,367,023","15,979,546","2,962,872","78,287,586","177,322,104","136,247,133",18.16,0.02,0.57,0.46,7.11,5.05,23.96,26.02,18.993478,6,3,1.147465483,,,0.070339509,,,0.016708983,,
DSHGARME,2016,"261,137,471","240,293,626","3,099,400","237,960","56,454,377","3,553,128","116,720,380","214,121,533","172,863,434",20.84,0.02,0.68,0.35,4.27,0.36,84.58,88.49,19.182054,6,4,1.360635066,,,0.079819433,,,0.016593978,,
